symbol,name,buy_date,sell_date,buy_price,sell_price,return_pct,net_profit,hold_days,exit_type,trail_reason,signal,power_score,cost_total
sz000020,sz000020,2022-02-21,2022-02-22,11.81,10.7,-0.0958,-30899.0,1,stop_loss,,tdx_resonance,71,501.25
sz000078,sz000078,2022-03-07,2022-03-08,4.0,3.38,-0.1558,-46547.0,1,stop_loss,,tdx_resonance,71,428.21
sz000031,sz000031,2022-03-31,2022-04-01,4.62,4.91,0.0607,16772.0,1,trail_stop,一级,tdx_resonance,70,529.18
sz000061,sz000061,2022-04-14,2022-04-14,6.79,7.23,0.0628,16721.0,0,trail_stop,一级,tdx_resonance,69,497.08
sz000042,sz000042,2022-05-17,2022-05-18,10.33,8.69,-0.1601,-46151.0,1,stop_loss,,tdx_resonance,75,417.62
sz000068,sz000068,2022-05-19,2022-05-20,3.75,3.31,-0.1182,-32132.0,1,stop_loss,,tdx_resonance,87,423.1
sz000010,sz000010,2022-06-07,2022-06-08,4.18,4.23,0.0101,2573.0,1,normal,,tdx_resonance,71,447.5
sz000070,sz000070,2022-06-30,2022-07-01,7.1,6.65,-0.065,-16395.0,1,normal,,tdx_resonance,71,392.81
sz000035,sz000035,2022-07-29,2022-07-29,6.33,6.7,0.0565,14344.0,0,trail_stop,一级,tdx_resonance,74,457.64
sz000049,sz000049,2022-08-18,2022-08-18,52.93,55.7,0.0506,13379.0,0,trail_stop,一级,tdx_resonance,70,458.14
sz000070,sz000070,2022-12-07,2022-12-08,7.77,7.44,-0.0443,-11123.0,1,normal,,tdx_resonance,71,402.08
sz000066,sz000066,2023-02-03,2023-02-06,13.58,12.88,-0.0531,-13913.0,3,stop_loss,,tdx_resonance,73,434.53
sz000014,sz000014,2023-06-07,2023-06-08,11.46,12.36,0.0766,19840.0,1,trail_stop,一级,tdx_resonance,71,468.15
sz000020,sz000020,2023-06-27,2023-06-29,12.22,10.13,-0.1727,-46861.0,2,stop_loss,,tdx_resonance,65,395.17
sz000020,sz000020,2023-07-05,2023-07-06,12.72,11.72,-0.0807,-20425.0,1,stop_loss,,tdx_resonance,79,386.42
sz000006,sz000006,2023-08-14,2023-08-15,5.4,5.0,-0.0758,-17206.0,1,stop_loss,,tdx_resonance,67,353.94
sz000010,sz000010,2023-08-22,2023-08-22,3.5,3.5,-0.0018,-424.0,0,trail_stop,一级,tdx_resonance,71,399.24
sz000027,sz000027,2024-10-09,2024-10-10,7.61,7.31,-0.0413,-9812.0,1,normal,,tdx_resonance,73,401.85
sz000016,sz000016,2024-10-09,2024-10-10,3.6,3.11,-0.1367,-32450.0,1,stop_loss,,tdx_resonance,71,346.71
sz000066,sz000066,2024-10-24,2024-10-24,11.82,11.3,-0.0458,-10570.0,0,trail_stop,一级,tdx_resonance,74,371.08
sz000008,sz000008,2024-11-06,2024-11-07,2.83,2.71,-0.0428,-9819.0,1,stop_loss,,tdx_resonance,66,397.22
sz000062,sz000062,2025-05-07,2025-05-08,28.62,27.72,-0.033,-7366.0,1,normal,,tdx_resonance,65,362.58
sz000020,sz000020,2025-06-19,2025-06-20,15.92,13.47,-0.1554,-35642.0,1,stop_loss,,tdx_resonance,70,357.56
sz000037,sz000037,2025-07-08,2025-07-09,10.57,10.09,-0.0472,-9833.0,1,stop_loss,,tdx_resonance,71,344.8
sz000032,sz000032,2025-08-04,2025-08-05,24.78,25.42,0.0242,4909.0,1,normal,,tdx_resonance,68,360.75
sz000014,sz000014,2025-08-13,2025-08-14,15.11,14.45,-0.0456,-9916.0,1,normal,,tdx_resonance,70,376.37
sz000066,sz000066,2025-08-14,2025-08-15,18.12,17.8,-0.0191,-2765.0,1,normal,,tdx_resonance,74,243.99
sz000062,sz000062,2025-08-19,2025-08-20,31.02,28.78,-0.0737,-15769.0,1,stop_loss,,tdx_resonance,71,350.72
sz000017,sz000017,2025-09-10,2025-09-11,7.3,7.13,-0.0252,-4859.0,1,normal,,tdx_resonance,70,331.39
sz000011,sz000011,2025-10-24,2025-10-27,11.0,9.98,-0.0944,-17964.0,3,stop_loss,,tdx_resonance,65,284.59
sz000008,sz000008,2025-11-12,2025-11-13,3.36,3.34,-0.0078,-1524.0,1,normal,,tdx_resonance,70,344.97
sz000069,sz000069,2025-11-12,2025-11-13,2.91,2.73,-0.062,-11772.0,1,stop_loss,,tdx_resonance,70,291.52
sz300522,2026-06-29,2026-07-03,22.49,21.88,400,-2.71,-244.0,auto,
sz300522,2026-06-29,2026-07-03,22.49,23.75,400,5.6,504.0,auto,
sz300522,2026-06-29,2026-07-06,22.49,22.21,400,-1.24,-112.0,auto,
sz000566,2026-07-06,2026-07-07,6.14,5.78,8300,-5.86,-2988.0,auto,
sh501005,2026-07-06,2026-07-07,10.51,1.03,4400,-90.2,-41712.0,auto,
sh600530,2026-07-06,2026-07-07,5.7,5.51,15100,-3.33,-2869.0,auto,
sh600601,2026-07-05,2026-07-07,15.12,14.65,1200,-3.11,-564.0,auto,
