,date,open,high,low,close,volume,amount,outstanding_share,turnover
0,2020-01-02,4.0,4.33,3.97,4.24,127600101.0,754480029.0,2177592614.0,0.058596865262879695
1,2020-01-03,4.66,4.66,4.66,4.66,35114550.0,233160612.0,2177592614.0,0.016125399110120238
2,2020-01-06,4.65,5.12,4.46,5.02,334605955.0,2332319971.0,2177592614.0,0.15365865628344752
3,2020-01-07,5.24,5.29,4.99,5.07,269504657.0,1976383868.0,2177592614.0,0.12376266123760833
4,2020-01-08,4.97,5.15,4.94,4.95,160021726.0,1149860342.0,2177592614.0,0.07348561203376676
5,2020-01-09,5.04,5.11,4.83,4.94,160360656.0,1136364196.0,2177592614.0,0.07364125638975004
6,2020-01-10,5.0,5.06,4.74,4.8,133211136.0,928603288.0,2177592614.0,0.06117358000921287
7,2020-01-13,4.79,4.9,4.69,4.86,108226135.0,741854395.0,2177592614.0,0.04969989992811392
8,2020-01-14,4.86,4.92,4.74,4.77,73182216.0,501410768.0,2177592614.0,0.03360693617782449
9,2020-01-15,4.7,4.75,4.55,4.61,108880597.0,718363661.0,2177592614.0,0.05000044374691289
10,2020-01-16,4.79,4.98,4.64,4.69,167519055.0,1148258396.0,2177592614.0,0.07692855583868177
11,2020-01-17,4.72,4.79,4.61,4.65,71892751.0,481515217.0,2177592614.0,0.03301478455510595
12,2020-01-20,4.66,4.73,4.59,4.72,63027989.0,419408683.0,2177592614.0,0.02894388445055591
13,2020-01-21,4.69,4.71,4.5,4.53,68879767.0,449943621.0,2177592614.0,0.03163115385181041
14,2020-01-22,4.5,4.61,4.41,4.57,53759947.0,345701264.0,2177592614.0,0.024687789008086707
15,2020-01-23,4.52,4.64,4.26,4.36,70374600.0,445695693.0,2177592614.0,0.03231761512578312
16,2020-02-03,3.92,3.92,3.92,3.92,7884400.0,44073796.0,2177592614.0,0.003620695601789913
17,2020-02-04,3.68,4.06,3.67,4.0,99612211.0,561303396.0,2177592614.0,0.04574419033182852
18,2020-02-05,4.0,4.21,3.95,4.09,78919671.0,462132474.0,2177592614.0,0.03624170586023121
19,2020-02-06,4.06,4.25,4.02,4.24,91176796.0,539948171.0,2177592614.0,0.04187045612380094
20,2020-02-07,4.19,4.31,4.13,4.21,80111054.0,479245605.0,2177592614.0,0.03678881600027323
21,2020-02-10,4.24,4.26,4.12,4.2,75074216.0,447872596.0,2177592614.0,0.034475785561238134
22,2020-02-11,4.19,4.22,4.07,4.08,62815122.0,369200146.0,2177592614.0,0.028846131088135663
23,2020-02-12,4.08,4.49,4.06,4.49,133418274.0,823902082.0,2177592614.0,0.0612687024846788
24,2020-02-13,4.52,4.61,4.38,4.48,128827929.0,825681649.0,2177592614.0,0.05916071177489767
25,2020-02-14,4.47,4.52,4.33,4.39,89385478.0,566198923.0,2177592614.0,0.04104784220213194
26,2020-02-17,4.45,4.56,4.43,4.53,79061978.0,507787681.0,2177592614.0,0.036307056467633665
27,2020-02-18,4.53,4.62,4.5,4.57,84552743.0,549257916.0,2177592614.0,0.038828540497612106
28,2020-02-19,4.55,4.8,4.51,4.58,109805337.0,726857241.0,2177592614.0,0.050425105363624274
29,2020-02-20,4.59,4.63,4.47,4.62,92265484.0,601324252.0,2177592614.0,0.042370406386765966
30,2020-02-21,4.74,5.02,4.68,4.88,152452002.0,1048016021.0,2177592614.0,0.07000942280014548
31,2020-02-24,4.82,5.11,4.8,5.09,135445029.0,959831453.0,2177592614.0,0.06219943442552474
32,2020-02-25,4.95,5.6,4.95,5.6,226379818.0,1731857174.0,2177592614.0,0.10395875543688816
