factor,label,category,period,n_stocks,n_obs,ic_mean,ic_std,icir,abs_icir,ic_pos_pct,direction
ret_5d,5日收益率,momentum,ic_1d,1500,8202384,-0.031235270791143212,0.04190478276540746,-0.7453867728179236,0.7453867728179236,0.14666666666666667,1
ret_5d,5日收益率,momentum,ic_5d,1500,8202384,-0.049631897898187526,0.05944203541653528,-0.8349629609820053,0.8349629609820053,0.14866666666666667,1
ret_5d,5日收益率,momentum,ic_20d,1500,8202384,-0.03005804692652459,0.0664395606028979,-0.45241188613781325,0.45241188613781325,0.2753333333333333,1
ret_20d,20日收益率,momentum,ic_1d,1500,8134884,-0.026149617501456095,0.03962759122685806,-0.6598841032692618,0.6598841032692618,0.186,1
ret_20d,20日收益率,momentum,ic_5d,1500,8134884,-0.047787568669538476,0.06828987581680054,-0.6997753048744287,0.6997753048744287,0.19666666666666666,1
ret_20d,20日收益率,momentum,ic_20d,1500,8134884,-0.07944507009747838,0.11026139840429504,-0.720515713089158,0.720515713089158,0.19466666666666665,1
ret_1d,1日反转,reversal,ic_1d,1500,8220384,-0.01058098313423107,0.05196492260972194,-0.2036177983694622,0.2036177983694622,0.364,-1
ret_1d,1日反转,reversal,ic_5d,1500,8220384,-0.01254430247618298,0.04021606809344065,-0.3119226486049488,0.3119226486049488,0.32266666666666666,-1
ret_1d,1日反转,reversal,ic_20d,1500,8220384,-0.004833764469003055,0.03803910170120219,-0.1270735704268823,0.1270735704268823,0.43133333333333335,-1
max_ret_20d,20日最大涨幅,reversal,ic_1d,1500,8134884,-0.00782159664293446,0.03544798065406346,-0.2206499918645678,0.2206499918645678,0.354,-1
max_ret_20d,20日最大涨幅,reversal,ic_5d,1500,8134884,-0.01780254645827453,0.07093413883275619,-0.2509728989626306,0.2509728989626306,0.37066666666666664,-1
max_ret_20d,20日最大涨幅,reversal,ic_20d,1500,8134884,-0.05669243428418237,0.11694441255420247,-0.48478104294128666,0.48478104294128666,0.29133333333333333,-1
min_ret_20d,20日最大跌幅,reversal,ic_1d,1500,8134884,-0.014457992217533617,0.03397934675227695,-0.42549353061252687,0.42549353061252687,0.25666666666666665,1
min_ret_20d,20日最大跌幅,reversal,ic_5d,1500,8134884,-0.028042704064237176,0.06787955797435459,-0.41312443541296956,0.41312443541296956,0.2733333333333333,1
min_ret_20d,20日最大跌幅,reversal,ic_20d,1500,8134884,-0.0066260767577209665,0.11050413937693737,-0.059962249333655765,0.059962249333655765,0.45066666666666666,1
vol_20d,20日波动率,volatility,ic_1d,1500,8134884,0.001865120707972497,0.0347001266677922,0.05374968010429933,0.05374968010429933,0.538,-1
vol_20d,20日波动率,volatility,ic_5d,1500,8134884,0.0010257204255180719,0.07187691342422041,0.014270512973536148,0.014270512973536148,0.5033333333333333,-1
vol_20d,20日波动率,volatility,ic_20d,1500,8134884,-0.035664722360397354,0.11880246544500653,-0.30020187061611525,0.30020187061611525,0.36666666666666664,-1
skewness_20d,20日收益偏度,volatility,ic_1d,1500,8134884,-0.018555384017232262,0.03486894233283426,-0.5321464540024097,0.5321464540024097,0.21733333333333332,1
skewness_20d,20日收益偏度,volatility,ic_5d,1500,8134884,-0.03818099522596604,0.06991862531028771,-0.5460776017337994,0.5460776017337994,0.22333333333333333,1
skewness_20d,20日收益偏度,volatility,ic_20d,1500,8134884,-0.043416839781893896,0.1006941789795241,-0.4311752697315562,0.4311752697315562,0.29733333333333334,1
turnover_5d,5日均换手,liquidity,ic_1d,1500,8206884,-0.02444177904280794,0.0380287642950251,-0.6427182028106393,0.6427182028106393,0.20133333333333334,-1
turnover_5d,5日均换手,liquidity,ic_5d,1500,8206884,-0.03717085826817625,0.07105140963002385,-0.523154409767954,0.523154409767954,0.244,-1
turnover_5d,5日均换手,liquidity,ic_20d,1500,8206884,-0.05564815430302016,0.12157567762927514,-0.4577244016908545,0.4577244016908545,0.26666666666666666,-1
volume_ratio_5d,5日量比,liquidity,ic_1d,1500,8206408,-0.006136145592650946,0.03363881902720416,-0.1824126342749596,0.1824126342749596,0.4166666666666667,1
volume_ratio_5d,5日量比,liquidity,ic_5d,1500,8206408,-0.010619229870098808,0.039079262694914796,-0.2717356761052874,0.2717356761052874,0.36333333333333334,1
volume_ratio_5d,5日量比,liquidity,ic_20d,1500,8206408,0.0007953613959925421,0.03333366895309092,0.023860601637096142,0.023860601637096142,0.532,1
rsi_14,14日RSI,technical,ic_1d,1500,8205891,-0.030431248867933216,0.047271821690946805,-0.6437502888483185,0.6437502888483185,0.16733333333333333,1
rsi_14,14日RSI,technical,ic_5d,1500,8205891,-0.048588465325244856,0.0705840470595295,-0.68837743582861,0.68837743582861,0.182,1
rsi_14,14日RSI,technical,ic_20d,1500,8205891,-0.06617698624730027,0.10722709801384744,-0.6171666255367099,0.6171666255367099,0.23,1
ma_dev_20,20日均线偏离,technical,ic_1d,1500,8139384,-0.030319286994023368,0.045623869863650045,-0.6645487786247541,0.6645487786247541,0.166,1
ma_dev_20,20日均线偏离,technical,ic_5d,1500,8139384,-0.04529330957980403,0.069161453744473,-0.6548923877040919,0.6548923877040919,0.202,1
ma_dev_20,20日均线偏离,technical,ic_20d,1500,8139384,-0.058517165162258265,0.1018592940454958,-0.5744901897329209,0.5744901897329209,0.246,1
ma_cross_5_20,5/20均线交叉,technical,ic_1d,1500,8139384,-0.02502768692125502,0.035856603895259055,-0.6979937920044952,0.6979937920044952,0.178,1
ma_cross_5_20,5/20均线交叉,technical,ic_5d,1500,8139384,-0.036129008151964875,0.06587433179324285,-0.5484535048546915,0.5484535048546915,0.23466666666666666,1
ma_cross_5_20,5/20均线交叉,technical,ic_20d,1500,8139384,-0.060678464674074825,0.09967823742617654,-0.6087433550278651,0.6087433550278651,0.23066666666666666,1
bias_20,20日乖离率,technical,ic_1d,1500,8139384,-0.0303192854592051,0.04562386965864283,-0.6645487479701652,0.6645487479701652,0.166,-1
