[11:27:04] === 盯盘监控启动 ===
[11:48:14] === 盯盘监控启动 ===
[13:02:14] 🔴 实盘卖出: 600910 止损(-0%)
[13:02:14] 🔴 实盘卖出: 300518 止损(-0%)
[13:02:14] 🔴 实盘卖出: 000481 止损(-0%)
[13:02:14] 🟢 实盘买入: sh688056 信号5级(3%仓)
[13:02:14] 🟢 实盘买入: sh688507 信号5级(3%仓)
[13:02:14] 🟢 模拟买入: sh688507 800股 @247.7
[13:02:14] 📊 模拟持仓变化: 0 -> 1只
[13:02:14] ✅ 正常: 模拟持仓1只 现金¥801781 信号386条 DLL=✅
[13:04:14] ✅ 正常: 模拟持仓1只 现金¥801781 信号386条 DLL=✅
[13:06:14] ✅ 正常: 模拟持仓1只 现金¥801781 信号386条 DLL=✅
[13:08:14] ✅ 正常: 模拟持仓1只 现金¥801781 信号386条 DLL=✅
[13:10:14] ✅ 正常: 模拟持仓1只 现金¥801781 信号386条 DLL=✅
[13:12:14] ✅ 正常: 模拟持仓1只 现金¥801781 信号386条 DLL=✅
[13:14:14] ✅ 正常: 模拟持仓1只 现金¥801781 信号386条 DLL=✅
[13:16:14] ✅ 正常: 模拟持仓1只 现金¥801781 信号386条 DLL=✅
[13:18:15] ✅ 正常: 模拟持仓1只 现金¥801781 信号386条 DLL=✅
[13:20:15] ✅ 正常: 模拟持仓1只 现金¥801781 信号386条 DLL=✅
[13:22:15] ✅ 正常: 模拟持仓1只 现金¥801781 信号386条 DLL=✅
[13:24:15] ✅ 正常: 模拟持仓1只 现金¥801781 信号386条 DLL=✅
[13:26:15] ✅ 正常: 模拟持仓1只 现金¥801781 信号386条 DLL=✅
[13:28:15] ✅ 正常: 模拟持仓1只 现金¥801781 信号386条 DLL=✅
[13:30:16] ✅ 正常: 模拟持仓1只 现金¥801781 信号386条 DLL=✅
[13:32:16] ✅ 正常: 模拟持仓1只 现金¥801781 信号386条 DLL=✅
