[16:10:08] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:10:23] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:10:38] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:10:53] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:11:08] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:11:23] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:11:38] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:11:53] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:12:08] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:12:23] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:12:38] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:12:53] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:13:08] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:13:23] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:13:38] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:13:53] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:14:08] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:14:23] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:14:38] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:14:53] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:15:08] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:15:23] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:15:38] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:15:53] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:16:08] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:16:32] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:16:47] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:17:02] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:17:17] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:17:32] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:17:47] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:18:02] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:18:17] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:18:33] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:18:48] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:19:03] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:19:18] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:19:33] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:19:48] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:20:03] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:20:18] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:20:33] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:20:48] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:21:03] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:21:18] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:21:33] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:21:48] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:22:03] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:22:18] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:22:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:22:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:23:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:23:26] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:23:41] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:23:56] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:24:11] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:24:26] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:24:41] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:24:56] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:25:11] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:25:26] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:25:41] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:25:56] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:26:11] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:26:26] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:26:41] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:26:56] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:27:11] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:27:26] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:27:41] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:27:56] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:28:11] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:28:26] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:28:41] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:28:56] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:29:11] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:29:26] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:29:41] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:29:56] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:30:11] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:30:26] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:30:41] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:30:56] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:31:11] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:31:26] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:31:41] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:31:56] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:32:11] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:32:26] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:32:41] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:32:56] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:33:11] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:33:26] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:33:41] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:33:56] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:34:11] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:34:26] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:34:41] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:34:56] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:35:11] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:35:26] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:35:41] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:36:12] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:36:27] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:36:42] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:36:57] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:37:12] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:37:27] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:37:42] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:37:57] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:38:12] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:38:27] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:38:42] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:38:57] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:39:12] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:39:27] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:39:42] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:39:57] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:40:12] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:40:27] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:40:42] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:40:57] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:41:12] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:41:27] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:41:42] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:41:57] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:42:12] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:42:27] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:42:42] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:42:57] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:43:12] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:43:27] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:43:55] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:44:10] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:44:25] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:44:40] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:44:55] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:45:10] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:45:25] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:45:40] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:45:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:46:16] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:46:33] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:46:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:47:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:47:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:47:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:47:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:48:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:48:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:48:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:48:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:49:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:49:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:49:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[16:49:58] 循环异常，5秒后重试: cannot import name 'is_trading_time' from 'realtime_quotes' (D:\quant_framework\realtime_quotes.py)
[16:50:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:05:42] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:05:57] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:06:12] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:06:27] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:06:42] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:06:57] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:07:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:07:12] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:07:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:07:27] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:07:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:07:42] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:07:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:07:57] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:08:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:08:12] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:08:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:08:27] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:08:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:08:42] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:08:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:08:57] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:09:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:09:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:09:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:09:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:09:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:09:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:09:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:09:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:10:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:10:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:10:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:10:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:10:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:10:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:10:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:10:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:11:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:11:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:11:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:11:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:11:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:11:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:11:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:11:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:12:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:12:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:12:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:12:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:12:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:12:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:12:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:12:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:13:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:13:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:13:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:13:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:13:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:13:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:13:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:13:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:14:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:14:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:14:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:14:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:14:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:14:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:14:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:14:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:15:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:15:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:15:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
